Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
19/12/2023 9:27:18,"2114","19.8","61","1007.6"
19/12/2023 9:32:18,"2118","19.8","61","1007.6"
19/12/2023 9:37:18,"2063","19.7","61","1007.6"
19/12/2023 9:42:18,"2081","19.7","61","1007.7"
19/12/2023 9:47:18,"2065","19.7","61","1007.7"
19/12/2023 9:52:18,"2082","19.7","61","1007.8"
19/12/2023 9:57:18,"2013","19.6","61","1007.7"
19/12/2023 10:02:18,"2010","19.6","61","1007.8"
19/12/2023 10:07:18,"2087","19.6","62","1007.7"
19/12/2023 10:12:18,"2101","19.6","62","1007.9"
19/12/2023 10:17:18,"1547","19.5","59","1007.8"
19/12/2023 10:22:18,"1088","19.1","57","1007.8"
19/12/2023 10:27:18,"1034","19.2","58","1007.6"
19/12/2023 10:32:18,"1078","19.7","58","1007.7"
19/12/2023 10:37:18,"1053","19.6","59","1007.7"
19/12/2023 10:42:18,"1097","19.5","59","1007.8"
19/12/2023 10:47:18,"1152","19.5","59","1007.6"
19/12/2023 10:52:18,"1107","19.4","59","1007.6"
19/12/2023 10:57:18,"1126","19.4","59","1007.7"
19/12/2023 11:02:18,"1116","19.3","59","1007.6"
19/12/2023 11:07:18,"697","18.6","54","1007.6"
19/12/2023 11:12:18,"609","17.9","53","1007.4"
19/12/2023 11:17:18,"739","18.1","55","1007.3"
19/12/2023 11:22:18,"751","18.3","56","1007.3"
19/12/2023 11:27:18,"779","18.4","57","1007.0"
19/12/2023 11:32:18,"786","18.4","57","1006.9"
19/12/2023 11:37:18,"813","18.4","57","1006.9"
19/12/2023 11:42:18,"782","18.4","58","1006.8"
19/12/2023 11:47:18,"833","18.5","58","1006.9"
19/12/2023 11:52:18,"888","18.6","58","1006.7"
19/12/2023 11:57:18,"910","18.5","59","1006.8"
19/12/2023 12:02:18,"930","18.4","59","1006.7"
19/12/2023 12:07:18,"934","18.5","59","1006.8"
19/12/2023 12:12:18,"950","18.5","59","1006.8"
19/12/2023 12:17:18,"916","18.5","59","1006.6"
19/12/2023 12:22:18,"946","18.5","59","1006.5"
19/12/2023 12:27:18,"926","18.4","60","1006.5"
19/12/2023 12:32:18,"942","18.4","60","1006.3"
19/12/2023 12:37:18,"949","18.4","60","1006.3"
19/12/2023 12:42:18,"964","18.4","60","1006.3"
19/12/2023 12:47:18,"988","18.4","60","1006.2"
19/12/2023 12:52:18,"1001","18.4","60","1006.2"
19/12/2023 12:57:18,"1009","18.4","60","1006.2"
19/12/2023 13:02:18,"1023","18.4","60","1006.1"
19/12/2023 13:07:18,"1034","18.4","60","1005.9"
19/12/2023 13:12:18,"1056","18.4","60","1005.9"
19/12/2023 13:17:18,"1056","18.4","60","1005.9"
19/12/2023 13:22:18,"1075","18.4","60","1006.0"
19/12/2023 13:27:18,"1098","18.4","60","1005.7"
19/12/2023 13:32:18,"1098","18.4","60","1005.8"
19/12/2023 13:37:18,"1142","18.4","61","1005.6"
19/12/2023 13:42:18,"1103","18.3","61","1005.6"
19/12/2023 13:47:18,"1088","18.3","61","1005.6"
19/12/2023 13:52:18,"1108","18.3","61","1005.5"
19/12/2023 13:57:18,"1108","18.3","61","1005.6"
19/12/2023 14:02:18,"1119","18.4","61","1005.5"
19/12/2023 14:07:06,"1181","18.6","61","1005.6"
19/12/2023 14:12:06,"1256","18.7","61","1005.5"
19/12/2023 14:17:06,"1214","18.6","61","1005.6"
19/12/2023 14:22:06,"1194","18.6","61","1005.4"
19/12/2023 14:27:06,"1150","18.5","61","1005.3"
19/12/2023 14:32:06,"1148","18.4","61","1005.4"
19/12/2023 14:37:06,"1133","18.4","61","1005.3"
19/12/2023 14:42:06,"1113","18.4","61","1005.3"
19/12/2023 14:47:06,"1126","18.4","61","1005.4"
19/12/2023 14:52:06,"1100","18.4","61","1005.3"
19/12/2023 14:57:06,"1103","18.4","61","1005.3"
19/12/2023 15:02:06,"1138","18.4","61","1005.3"
19/12/2023 15:07:06,"1157","18.4","61","1005.2"
19/12/2023 15:12:06,"1143","18.3","61","1005.4"
19/12/2023 15:17:06,"1185","18.3","61","1005.5"
19/12/2023 15:22:06,"1147","18.3","61","1005.5"
19/12/2023 15:27:06,"1166","18.3","61","1005.4"
19/12/2023 15:32:06,"1171","18.3","61","1005.5"
19/12/2023 15:37:06,"1135","18.3","61","1005.5"
19/12/2023 15:42:06,"1168","18.3","61","1005.5"
19/12/2023 15:47:06,"1173","18.3","61","1005.4"
19/12/2023 15:52:06,"1231","18.4","61","1005.4"
19/12/2023 15:57:06,"1214","18.4","61","1005.4"
19/12/2023 16:02:06,"1252","18.3","61","1005.5"
19/12/2023 16:07:06,"1224","18.3","61","1005.4"
19/12/2023 16:12:06,"1274","18.4","61","1005.4"
19/12/2023 16:17:06,"1311","18.4","61","1005.6"
19/12/2023 16:22:06,"1309","18.5","61","1005.5"
19/12/2023 16:27:06,"1331","18.5","61","1005.4"
19/12/2023 16:32:06,"1331","18.5","61","1005.2"
19/12/2023 16:37:06,"1391","18.5","61","1005.4"
19/12/2023 16:42:06,"1395","18.5","61","1005.3"
19/12/2023 16:47:06,"1367","18.5","61","1005.3"
19/12/2023 16:52:06,"1432","18.5","61","1005.3"
19/12/2023 16:57:06,"1423","18.5","61","1005.3"
19/12/2023 17:02:06,"1413","18.5","61","1005.4"
19/12/2023 17:07:06,"1455","18.4","61","1005.3"
19/12/2023 17:12:06,"1481","18.5","61","1005.2"
19/12/2023 17:17:06,"1470","18.5","61","1005.0"
19/12/2023 17:22:06,"1542","18.4","61","1004.8"
19/12/2023 17:27:06,"1563","18.4","61","1004.8"
19/12/2023 17:32:06,"1513","18.5","61","1004.9"
19/12/2023 17:37:06,"1562","18.4","61","1004.9"
19/12/2023 17:42:06,"1535","18.5","61","1004.9"
19/12/2023 17:47:06,"1558","18.5","61","1004.9"
19/12/2023 17:52:06,"1614","18.5","61","1005.0"
19/12/2023 17:57:06,"1556","18.4","61","1005.1"
19/12/2023 18:02:06,"1575","18.4","61","1005.1"
19/12/2023 18:07:06,"1582","18.4","61","1005.0"
19/12/2023 18:12:06,"1505","18.4","61","1005.0"
19/12/2023 18:17:06,"1522","18.4","61","1005.0"
19/12/2023 18:22:06,"1472","18.4","61","1005.0"
19/12/2023 18:27:06,"1444","18.4","61","1005.0"
19/12/2023 18:32:06,"1406","18.4","61","1005.1"
19/12/2023 18:37:06,"1444","18.3","61","1005.1"
19/12/2023 18:42:06,"1430","18.3","61","1005.0"
19/12/2023 18:47:06,"1419","18.3","61","1005.0"
19/12/2023 18:52:06,"1412","18.4","61","1005.1"
19/12/2023 18:57:06,"1396","18.4","61","1004.9"
19/12/2023 19:02:06,"1378","18.4","61","1004.9"
19/12/2023 19:07:06,"1390","18.4","61","1004.7"
19/12/2023 19:12:06,"1396","18.4","61","1004.7"
19/12/2023 19:17:06,"1384","18.4","61","1004.6"
19/12/2023 19:22:06,"1390","18.4","61","1004.5"
19/12/2023 19:27:06,"1379","18.4","61","1004.6"
19/12/2023 19:32:06,"1365","18.4","61","1004.4"
19/12/2023 19:37:06,"1346","18.4","61","1004.4"
19/12/2023 19:42:06,"1372","18.4","61","1004.3"
19/12/2023 19:47:06,"1357","18.4","61","1004.3"
19/12/2023 19:52:06,"1366","18.4","61","1004.4"
19/12/2023 19:57:06,"1336","18.4","61","1004.5"
19/12/2023 20:02:06,"1325","18.4","61","1004.5"
19/12/2023 20:07:06,"1356","18.4","61","1004.6"
19/12/2023 20:12:06,"1336","18.4","61","1004.5"
19/12/2023 20:17:06,"1316","18.4","61","1004.4"
19/12/2023 20:22:06,"1349","18.4","61","1004.5"
19/12/2023 20:27:06,"1328","18.4","61","1004.2"
19/12/2023 20:32:06,"1349","18.4","61","1004.2"
19/12/2023 20:37:06,"1359","18.4","61","1004.1"
19/12/2023 20:42:06,"1447","18.6","61","1003.9"
19/12/2023 20:47:06,"1638","18.7","61","1003.8"
19/12/2023 20:52:06,"1684","18.8","62","1004.1"
19/12/2023 20:57:06,"1711","19.0","62","1004.0"
19/12/2023 21:02:06,"1804","19.1","61","1004.0"
19/12/2023 21:07:06,"1809","19.1","61","1003.8"
19/12/2023 21:12:06,"1925","19.2","62","1003.8"
19/12/2023 21:17:06,"2058","19.3","62","1003.8"
19/12/2023 21:22:06,"2139","19.4","62","1003.9"
19/12/2023 21:27:06,"2310","19.6","62","1003.9"
19/12/2023 21:32:06,"2256","19.7","62","1003.9"
19/12/2023 21:37:06,"2271","19.8","62","1003.9"
19/12/2023 21:42:06,"2315","19.8","62","1003.8"
19/12/2023 21:47:06,"2238","19.8","61","1003.9"
19/12/2023 21:52:06,"2281","19.9","62","1003.7"
19/12/2023 21:57:06,"2330","20.0","62","1003.6"
19/12/2023 22:02:06,"2288","20.0","61","1003.4"
19/12/2023 22:07:06,"2323","20.1","62","1003.5"
19/12/2023 22:12:06,"2355","20.1","61","1003.5"
19/12/2023 22:17:06,"2347","20.0","61","1003.4"
19/12/2023 22:22:06,"2478","20.2","62","1003.3"
19/12/2023 22:27:06,"2514","20.3","62","1003.4"
19/12/2023 22:32:06,"2479","20.3","61","1003.2"
19/12/2023 22:37:06,"2454","20.3","61","1003.1"
19/12/2023 22:42:06,"2467","20.3","61","1003.0"
19/12/2023 22:47:06,"2469","20.3","61","1002.8"
19/12/2023 22:52:06,"2405","20.3","61","1002.7"
19/12/2023 22:57:06,"2380","20.3","61","1002.8"
19/12/2023 23:02:06,"2478","20.3","61","1002.6"
19/12/2023 23:07:06,"2456","20.2","61","1002.6"
19/12/2023 23:12:06,"2417","20.2","61","1002.6"
19/12/2023 23:17:06,"2412","20.1","61","1002.5"
19/12/2023 23:22:06,"2407","20.1","61","1002.6"
19/12/2023 23:27:06,"2464","20.0","61","1002.7"
19/12/2023 23:32:06,"2464","20.0","61","1002.7"
19/12/2023 23:37:06,"2421","20.0","61","1002.8"
19/12/2023 23:42:07,"2443","20.1","61","1002.6"
19/12/2023 23:47:07,"2435","20.1","62","1002.7"
19/12/2023 23:52:07,"2403","20.2","61","1002.7"
19/12/2023 23:57:07,"2421","20.1","61","1002.7"
20/12/2023 0:02:07,"2319","20.1","61","1002.6"
20/12/2023 0:07:07,"2345","20.2","61","1002.7"
20/12/2023 0:12:07,"2431","20.3","61","1002.8"
20/12/2023 0:16:41,"2399","20.3","61","1002.7"
20/12/2023 0:21:41,"2355","20.3","60","1002.6"
20/12/2023 0:26:41,"2350","20.3","60","1002.5"
20/12/2023 0:31:41,"2356","20.3","60","1002.5"
20/12/2023 0:36:41,"2393","20.3","60","1002.7"
20/12/2023 0:41:41,"2471","20.3","61","1002.8"
20/12/2023 0:46:41,"2467","20.3","61","1002.9"
20/12/2023 0:51:41,"2476","20.3","61","1002.9"
20/12/2023 0:56:41,"2485","20.3","61","1003.0"
20/12/2023 1:01:41,"2516","20.3","61","1003.0"
20/12/2023 1:06:41,"2512","20.3","61","1003.1"
20/12/2023 1:11:41,"2502","20.3","61","1003.1"
20/12/2023 1:16:41,"2543","20.3","61","1003.2"
20/12/2023 1:21:41,"2493","20.3","61","1003.2"
20/12/2023 1:26:41,"2464","20.3","61","1003.2"
20/12/2023 1:31:41,"2441","20.3","61","1003.2"
20/12/2023 1:36:41,"2494","20.2","61","1003.3"
20/12/2023 1:41:41,"2463","20.2","61","1003.5"
20/12/2023 1:46:41,"2425","20.1","61","1003.6"
20/12/2023 1:51:41,"2448","20.1","61","1003.7"
20/12/2023 1:56:41,"2460","20.1","61","1003.6"
20/12/2023 2:01:41,"2392","20.0","61","1003.7"
20/12/2023 2:06:41,"2470","20.0","61","1003.7"
20/12/2023 2:11:41,"2488","20.0","61","1003.7"
20/12/2023 2:16:41,"2482","20.0","62","1003.7"
20/12/2023 2:21:41,"2467","20.1","62","1003.8"
20/12/2023 2:26:41,"2434","20.0","62","1003.7"
20/12/2023 2:31:41,"2404","20.0","62","1003.8"
20/12/2023 2:36:41,"2426","20.0","62","1003.9"
20/12/2023 2:41:41,"2405","20.0","62","1003.9"
20/12/2023 2:46:41,"2406","20.0","62","1004.0"
20/12/2023 2:51:41,"2451","20.0","62","1004.1"
20/12/2023 2:56:41,"2449","20.0","62","1004.2"
20/12/2023 3:01:41,"2411","20.0","62","1004.4"
20/12/2023 3:06:41,"2363","20.0","62","1004.5"
20/12/2023 3:11:41,"2429","20.1","62","1004.5"
20/12/2023 3:16:41,"2371","20.1","62","1004.6"
20/12/2023 3:21:41,"2309","20.2","61","1004.7"
20/12/2023 3:26:41,"2397","20.2","62","1004.6"
20/12/2023 3:31:41,"2399","20.2","62","1004.7"
20/12/2023 3:36:41,"2403","20.2","62","1004.5"
20/12/2023 3:41:41,"2401","20.2","62","1004.6"
20/12/2023 3:46:41,"2397","20.2","62","1004.6"
20/12/2023 3:51:41,"2376","20.2","61","1004.6"
20/12/2023 3:56:41,"2364","20.2","61","1004.6"
20/12/2023 4:01:41,"2372","20.2","61","1004.6"
20/12/2023 4:06:41,"2320","20.2","61","1004.7"
20/12/2023 4:11:41,"2314","20.2","61","1004.6"
20/12/2023 4:16:41,"2383","20.2","61","1004.7"
20/12/2023 4:21:41,"2336","20.2","61","1004.6"
20/12/2023 4:26:41,"2250","20.3","61","1004.6"
20/12/2023 4:31:41,"2327","20.2","61","1004.4"
20/12/2023 4:36:41,"2224","20.2","60","1004.4"
20/12/2023 4:41:41,"2238","20.2","60","1004.4"
20/12/2023 4:46:41,"2169","20.1","60","1004.2"
20/12/2023 4:51:41,"2156","19.9","60","1004.0"
20/12/2023 4:56:41,"2141","19.9","60","1004.1"
20/12/2023 5:01:41,"2168","19.8","60","1004.0"
20/12/2023 5:06:41,"2118","19.9","60","1004.0"
20/12/2023 5:11:41,"2111","19.9","60","1003.8"
